policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 637: Reward 200
Episode 638: Reward 140
Episode 639: Reward 200
Episode 640: Reward 200
Episode 641: Reward 200
Episode 642: Reward 194
Episode 643: Reward 200
Episode 644: Reward 195
Episode 645: Reward 200
Episode 646: Reward 50
Episode 647: Reward 200
Episode 648: Reward 200
Episode 649: Reward 200
Episode 650: Reward 200
Episode 651: Reward 200
Episode 652: Reward 200
Episode 653: Reward 200
Episode 654: Reward 200
Episode 655: Reward 200
Episode 656: Reward 200
Episode 657: Reward 149
Episode 658: Reward 200
Episode 659: Reward 200
Episode 660: Reward 200
Episode 661: Reward 200
Episode 662: Reward 200
Episode 663: Reward 200
Episode 664: Reward 200
Episode 665: Reward 200
Episode 666: Reward 200
Episode 667: Reward 200
Episode 668: Reward 200
Episode 669: Reward 200
Episode 670: Reward 200
Episode 671: Reward 200
Episode 672: Reward 115
Episode 673: Reward 200
Episode 674: Reward 200
Episode 675: Reward 200
Episode 676: Reward 152
Episode 677: Reward 200
Episode 678: Reward 200
Episode 679: Reward 200
Episode 680: Reward 200
Episode 681: Reward 200
Episode 682: Reward 200
Episode 683: Reward 200
Episode 684: Reward 173
Episode 685: Reward 192
Episode 686: Reward 200
Episode 687: Reward 200
Episode 688: Reward 192
Episode 689: Reward 200
Episode 690: Reward 103
Episode 691: Reward 98
Episode 692: Reward 189
Episode 693: Reward 200
Episode 694: Reward 200
Episode 695: Reward 84
Episode 696: Reward 120
Episode 697: Reward 24
Episode 698: Reward 200
Episode 699: Reward 200
Episode 700: Reward 200
Episode 701: Reward 200
Episode 702: Reward 200
Episode 703: Reward 84
Episode 704: Reward 187
Episode 705: Reward 108
Episode 706: Reward 200
Episode 707: Reward 183
Episode 708: Reward 174
Episode 709: Reward 200
Episode 710: Reward 200
Episode 711: Reward 200
Episode 712: Reward 113
Episode 713: Reward 196
Episode 714: Reward 200
Episode 715: Reward 143
Episode 716: Reward 200
Episode 717: Reward 174
Episode 718: Reward 153
Episode 719: Reward 198
Episode 720: Reward 200
Episode 721: Reward 194
Episode 722: Reward 200
Episode 723: Reward 200
Episode 724: Reward 200
Episode 725: Reward 197
Episode 726: Reward 200
Episode 727: Reward 200
Episode 728: Reward 200
Episode 729: Reward 180
Episode 730: Reward 161
Episode 731: Reward 200
Episode 732: Reward 87
Episode 733: Reward 200
Episode 734: Reward 200
Episode 735: Reward 200
Episode 736: Reward 200
Episode 737: Reward 200
Episode 738: Reward 196
Episode 739: Reward 200
Episode 740: Reward 200
Episode 741: Reward 200
Episode 742: Reward 200
Episode 743: Reward 200
Episode 744: Reward 200
Episode 745: Reward 166
Episode 746: Reward 200
Episode 747: Reward 200
Episode 748: Reward 200
Episode 749: Reward 181
Episode 750: Reward 200
Episode 751: Reward 200
Episode 752: Reward 200
Episode 753: Reward 191
Episode 754: Reward 145
Episode 755: Reward 118
Episode 756: Reward 200
Episode 757: Reward 161
Episode 758: Reward 180
Episode 759: Reward 184
Episode 760: Reward 186
Episode 761: Reward 200
Episode 762: Reward 178
Episode 763: Reward 190
Episode 764: Reward 200
Episode 765: Reward 172
Episode 766: Reward 198
Episode 767: Reward 156
Episode 768: Reward 200
Episode 769: Reward 200
Episode 770: Reward 200
Episode 771: Reward 200
Episode 772: Reward 194
Episode 773: Reward 200
Episode 774: Reward 140
Episode 775: Reward 200
Episode 776: Reward 200
Episode 777: Reward 200
Episode 778: Reward 200
Episode 779: Reward 171
Episode 780: Reward 47
Episode 781: Reward 200
Episode 782: Reward 182
Episode 783: Reward 200
Episode 784: Reward 200
Episode 785: Reward 200
Episode 786: Reward 153
Episode 787: Reward 200
Episode 788: Reward 192
Episode 789: Reward 126
Episode 790: Reward 200
Episode 791: Reward 200
Episode 792: Reward 200
Episode 793: Reward 200
Episode 794: Reward 200
Episode 795: Reward 158
Episode 796: Reward 200
Episode 797: Reward 75
Episode 798: Reward 200
Episode 799: Reward 200
Episode 800: Reward 200
Episode 801: Reward 189
Episode 802: Reward 184
Episode 803: Reward 200
Episode 804: Reward 200
Episode 805: Reward 200
Episode 806: Reward 183
Episode 807: Reward 164
Episode 808: Reward 200
Episode 809: Reward 200
Episode 810: Reward 153
Episode 811: Reward 183
Episode 812: Reward 200
Episode 813: Reward 200
Episode 814: Reward 200
Episode 815: Reward 200
Episode 816: Reward 115
Episode 817: Reward 200
Episode 818: Reward 200
Episode 819: Reward 200
Episode 820: Reward 200
Episode 821: Reward 200
Episode 822: Reward 108
Episode 823: Reward 200
Episode 824: Reward 200
Episode 825: Reward 200
Episode 826: Reward 200
Episode 827: Reward 200
Episode 828: Reward 200
Episode 829: Reward 200
Episode 830: Reward 200
Episode 831: Reward 200
Episode 832: Reward 200
Episode 833: Reward 200
Episode 834: Reward 152
Episode 835: Reward 92
Episode 836: Reward 200
Episode 837: Reward 200
Episode 838: Reward 200
Episode 839: Reward 86
Episode 840: Reward 200
Episode 841: Reward 200
Episode 842: Reward 200
Episode 843: Reward 200
Episode 844: Reward 164
Episode 845: Reward 200
Episode 846: Reward 178
Episode 847: Reward 87
Episode 848: Reward 200
Episode 849: Reward 200
Episode 850: Reward 200
Episode 851: Reward 106
Episode 852: Reward 200
Episode 853: Reward 200
Episode 854: Reward 200
Episode 855: Reward 166
Episode 856: Reward 200
Episode 857: Reward 200
Episode 858: Reward 200
Episode 859: Reward 168
Episode 860: Reward 200
Episode 861: Reward 200
Episode 862: Reward 200
Episode 863: Reward 200
Episode 864: Reward 200
Episode 865: Reward 200
Episode 866: Reward 200
Episode 867: Reward 200
Episode 868: Reward 200
Episode 869: Reward 200
Episode 870: Reward 112
Episode 871: Reward 200
Episode 872: Reward 200
Episode 873: Reward 200
Episode 874: Reward 200
Episode 875: Reward 180
Episode 876: Reward 200
Episode 877: Reward 200
Episode 878: Reward 200
Episode 879: Reward 200
Episode 880: Reward 103
Episode 881: Reward 200
Episode 882: Reward 200
Episode 883: Reward 200
Episode 884: Reward 200
Episode 885: Reward 89
Episode 886: Reward 200
Episode 887: Reward 200
Episode 888: Reward 200
Episode 889: Reward 200
Episode 890: Reward 200
Episode 891: Reward 200
Episode 892: Reward 200
Episode 893: Reward 200
Episode 894: Reward 200
Episode 895: Reward 177
Episode 896: Reward 200
Episode 897: Reward 200
Episode 898: Reward 200
Episode 899: Reward 200
Episode 900: Reward 200
Episode 901: Reward 200
Episode 902: Reward 200
Episode 903: Reward 199
Episode 904: Reward 200
Episode 905: Reward 200
Episode 906: Reward 200
Episode 907: Reward 200
Episode 908: Reward 200
Episode 909: Reward 200
Episode 910: Reward 200
Episode 911: Reward 200
Episode 912: Reward 200
